g1;g2;RtF_g1;RtF_g2;Ratio;ExpRatio;RatioLeg
UPS1_50fmol;UPS1_25fmol;RtoF_50fmol;RtoF_25fmol;50fmol/25fmol;2;50fmol / 25fmol
UPS1_50fmol;UPS1_10fmol;RtoF_50fmol;RtoF_10fmol;50fmol/10fmol;5;50fmol / 10fmol
UPS1_50fmol;UPS1_5fmol;RtoF_50fmol;RtoF_5fmol;50fmol/5fmol;10;50fmol / 5fmol
UPS1_50fmol;UPS1_2.5fmol;RtoF_50fmol;RtoF_2.5fmol;50fmol/2.5fmol;20;50fmol / 2.5fmol
UPS1_50fmol;UPS1_1fmol;RtoF_50fmol;RtoF_1fmol;50fmol/1fmol;50;50fmol / 1fmol
UPS1_50fmol;UPS1_0.25fmol;RtoF_50fmol;RtoF_0.25fmol;50fmol/0.25fmol;200;50fmol / 0.25fmol
UPS1_50fmol;UPS1_0.1fmol;RtoF_50fmol;RtoF_0.1fmol;50fmol/0.1fmol;500;50fmol / 0.1fmol
UPS1_25fmol;UPS1_10fmol;RtoF_25fmol;RtoF_10fmol;25fmol/10fmol;2.5;25fmol / 10fmol
UPS1_25fmol;UPS1_5fmol;RtoF_25fmol;RtoF_5fmol;25fmol/5fmol;5;25fmol / 5fmol
UPS1_25fmol;UPS1_2.5fmol;RtoF_25fmol;RtoF_2.5fmol;25fmol/2.5fmol;10;25fmol / 2.5fmol
UPS1_25fmol;UPS1_1fmol;RtoF_25fmol;RtoF_1fmol;25fmol/1fmol;25;25fmol / 1fmol
UPS1_25fmol;UPS1_0.25fmol;RtoF_25fmol;RtoF_0.25fmol;25fmol/0.25fmol;100;25fmol / 0.25fmol
UPS1_25fmol;UPS1_0.1fmol;RtoF_25fmol;RtoF_0.1fmol;25fmol/0.1fmol;250;25fmol / 0.1fmol
UPS1_10fmol;UPS1_5fmol;RtoF_10fmol;RtoF_5fmol;10fmol/5fmol;2;10fmol / 5fmol
UPS1_10fmol;UPS1_2.5fmol;RtoF_10fmol;RtoF_2.5fmol;10fmol/2.5fmol;4;10fmol / 2.5fmol
UPS1_10fmol;UPS1_1fmol;RtoF_10fmol;RtoF_1fmol;10fmol/1fmol;10;10fmol / 1fmol
UPS1_10fmol;UPS1_0.25fmol;RtoF_10fmol;RtoF_0.25fmol;10fmol/0.25fmol;40;10fmol / 0.25fmol
UPS1_10fmol;UPS1_0.1fmol;RtoF_10fmol;RtoF_0.1fmol;10fmol/0.1fmol;100;10fmol / 0.1fmol
UPS1_5fmol;UPS1_2.5fmol;RtoF_5fmol;RtoF_2.5fmol;5fmol/2.5fmol;2;5fmol / 2.5fmol
UPS1_5fmol;UPS1_1fmol;RtoF_5fmol;RtoF_1fmol;5fmol/1fmol;5;5fmol / 1fmol
UPS1_5fmol;UPS1_0.25fmol;RtoF_5fmol;RtoF_0.25fmol;5fmol/0.25fmol;20;5fmol / 0.25fmol
UPS1_5fmol;UPS1_0.1fmol;RtoF_5fmol;RtoF_0.1fmol;5fmol/0.1fmol;50;5fmol / 0.1fmol
UPS1_2.5fmol;UPS1_1fmol;RtoF_2.5fmol;RtoF_1fmol;2.5fmol/1fmol;2.5;2.5fmol / 1fmol
UPS1_2.5fmol;UPS1_0.25fmol;RtoF_2.5fmol;RtoF_0.25fmol;2.5fmol/0.25fmol;10;2.5fmol / 0.25fmol
UPS1_2.5fmol;UPS1_0.1fmol;RtoF_2.5fmol;RtoF_0.1fmol;2.5fmol/0.1fmol;25;2.5fmol / 0.1fmol
UPS1_1fmol;UPS1_0.25fmol;RtoF_1fmol;RtoF_0.25fmol;1fmol/0.25fmol;4;1fmol / 0.25fmol
UPS1_1fmol;UPS1_0.1fmol;RtoF_1fmol;RtoF_0.1fmol;1fmol/0.1fmol;10;1fmol / 0.1fmol
UPS1_0.25fmol;UPS1_0.1fmol;RtoF_0.25fmol;RtoF_0.1fmol;0.25fmol/0.1fmol;2.5;0.25fmol / 0.1fmol
